symbol,name,category,sub_category,failure_type,primary_failure_type,secondary_failure_type,row_count,min_required_rows,first_date,last_date,latest_expected_date,end_date_gap_days,history_status,cache_status,liquidity_status,price_quality_status,metadata_status,strategy_eligibility,remediation_priority,recommended_action,requires_refresh,requires_manual_review,exclude_from_candidate_pool,reason,notes
159106,民企300ETF前海开源,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,133,250,2025-10-22,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 133 < 250; avg_amount_20 2866081.20 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159107,创业板软件ETF富国,broad_based,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,149,250,2025-09-22,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 149 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159108,工业软件ETF博时,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,110,250,2025-11-24,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 110 < 250; avg_amount_20 10439315.75 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159122,创业板新能源ETF富国,broad_based,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,125,250,2025-11-03,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 125 < 250; avg_amount_20 5665508.50 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159123,光伏ETF嘉实,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,107,250,2025-11-27,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 107 < 250; avg_amount_20 8602615.00 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159129,化工ETF嘉实,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,116,250,2025-11-14,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 116 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159133,化工ETF天弘,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,109,250,2025-11-25,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 109 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159136,A50ETF广发,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,87,250,2025-12-25,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 87 < 250; avg_amount_20 2882299.95 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159138,工程机械ETF易方达,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,76,250,2026-01-13,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 76 < 250; avg_amount_20 14126126.65 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159139,科创创业人工智能ETF华泰柏瑞,theme,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,91,250,2025-12-19,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 91 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159140,科创创业人工智能ETF易方达,theme,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,92,250,2025-12-18,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 92 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159141,科创创业人工智能ETF永赢,theme,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,97,250,2025-12-11,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 97 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159142,科创创业人工智能ETF景顺,theme,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,96,250,2025-12-12,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 96 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159145,工业软件ETF广发,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,72,250,2026-01-19,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 72 < 250; avg_amount_20 3839345.25 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159146,电力ETF华宝,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,71,250,2026-01-20,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 71 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159147,电池ETF南方,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,68,250,2026-01-23,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 68 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159148,石油ETF富国,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,55,250,2026-02-11,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 55 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159149,创业板新能源ETF工银,broad_based,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,71,250,2026-01-20,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 71 < 250; avg_amount_20 15714424.65 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159151,食品ETF华夏,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,75,250,2026-01-14,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 75 < 250; avg_amount_20 9847381.45 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159153,消费电子ETF鹏华,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,57,250,2026-02-09,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 57 < 250; avg_amount_20 16363742.50 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159155,电池ETF大成,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,70,250,2026-01-21,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 70 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159156,电池ETF万家,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,54,250,2026-02-12,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 54 < 250; avg_amount_20 13446323.00 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159157,有色金属ETF天弘,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,58,250,2026-02-06,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 58 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159158,电力ETF景顺,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,66,250,2026-01-27,2026-05-12,2026-05-15,3,short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 66 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159159,公用事业ETF国投瑞银,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,54,250,2026-02-12,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 54 < 250; avg_amount_20 8872734.35 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159160,电池ETF东财,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,29,250,2026-03-27,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 29 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159162,工业有色ETF鹏华,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,64,250,2026-01-29,2026-05-12,2026-05-15,3,short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 64 < 250; avg_amount_20 14282418.10 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159163,有色ETF泰康,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,57,250,2026-02-09,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 57 < 250; avg_amount_20 11884143.95 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159165,养殖ETF永赢,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,54,250,2026-02-12,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 54 < 250; avg_amount_20 12327438.90 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159168,有色ETF富国,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,54,250,2026-02-12,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 54 < 250; avg_amount_20 18270756.45 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159171,工业有色ETF博时,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,45,250,2026-03-05,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 45 < 250; avg_amount_20 6117055.85 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159172,养殖ETF汇添富,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,34,250,2026-03-20,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 34 < 250; avg_amount_20 17895787.45 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159173,农牧ETF南方,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,25,250,2026-04-02,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 25 < 250; avg_amount_20 11150520.65 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159175,电池ETF易方达,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,45,250,2026-03-05,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 45 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159176,家电ETF华宝,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,24,250,2026-04-03,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 24 < 250; avg_amount_20 16509276.20 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159177,工程机械ETF鹏华,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,25,250,2026-04-02,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 25 < 250; avg_amount_20 9779874.25 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159178,消费电子ETF汇添富,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,8,250,2026-04-28,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 8 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159180,软件ETF银华,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,24,250,2026-04-03,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 24 < 250; avg_amount_20 12519023.10 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159181,石油ETF易方达,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,35,250,2026-03-19,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 35 < 250; avg_amount_20 15537858.60 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159182,家电ETF南方,unknown,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,3,250,2026-05-08,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 3 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159183,新能源车ETF招商,industry,指数型-股票,insufficient_rows,new_etf_short_history,insufficient_rows,32,250,2026-03-24,2026-05-12,2026-05-15,3,very_short_history,fresh,ok,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 32 < 250,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159187,创业板新能源ETF景顺,broad_based,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,26,250,2026-04-01,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 26 < 250; avg_amount_20 16361671.80 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159188,红利100ETF景顺,unknown,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,20,250,2026-04-10,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 20 < 250; avg_amount_20 15262137.00 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159189,石油ETF华夏,industry,指数型-股票,insufficient_rows;zero_or_low_liquidity,new_etf_short_history,insufficient_rows;zero_or_low_liquidity;low_liquidity,35,250,2026-03-19,2026-05-12,2026-05-15,3,very_short_history,fresh,low_liquidity,ok,warning,blocked_short_history,P1_short_history_observe,keep observation_only until row_count reaches the minimum history requirement,False,False,True,too few rows: 35 < 250; avg_amount_20 10880296.25 < 20000000.00,short history is not a low score; it blocks strategy eligibility until enough rows accumulate
