symbol,name,category,sub_category,row_count,min_required_rows,rows_needed,first_date,last_date,latest_expected_date,end_date_gap_days,history_status,liquidity_status,observation_status,observation_priority,estimated_trading_days_until_eligible,estimated_calendar_date_until_eligible,requires_manual_review,manual_review_reason,low_liquidity_flag,abnormal_return_flag,candidate_status,recommended_action,notes
159267,航天ETF华安,unknown,指数型-股票,185,250,65,2025-08-01,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,65,2026-08-17,False,,False,False,blocked_short_history,"recheck candidate gate after at least 65 new trading day(s), around 2026-08-17",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589720,科创创新药ETF国泰,unknown,指数型-股票,185,250,65,2025-08-01,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,65,2026-08-17,False,,False,False,blocked_short_history,"recheck candidate gate after at least 65 new trading day(s), around 2026-08-17",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159256,创业板软件ETF华夏,broad_based,指数型-股票,184,250,66,2025-08-04,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,66,2026-08-18,False,,False,False,blocked_short_history,"recheck candidate gate after at least 66 new trading day(s), around 2026-08-18",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159273,云计算ETF汇添富,theme,指数型-股票,182,250,68,2025-08-06,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,68,2026-08-20,False,,False,False,blocked_short_history,"recheck candidate gate after at least 68 new trading day(s), around 2026-08-20",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589850,科创50ETF东财,broad_based,指数型-股票,179,250,71,2025-08-11,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,71,2026-08-25,False,,False,False,blocked_short_history,"recheck candidate gate after at least 71 new trading day(s), around 2026-08-25",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159278,机器人ETF鹏华,theme,指数型-股票,178,250,72,2025-08-12,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,72,2026-08-26,False,,False,False,blocked_short_history,"recheck candidate gate after at least 72 new trading day(s), around 2026-08-26",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159259,成长ETF易方达,unknown,指数型-股票,166,250,84,2025-08-28,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,84,2026-09-11,False,,False,False,blocked_short_history,"recheck candidate gate after at least 84 new trading day(s), around 2026-09-11",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
560770,机器人ETF招商,theme,指数型-股票,164,250,86,2025-09-01,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,86,2026-09-15,False,,False,False,blocked_short_history,"recheck candidate gate after at least 86 new trading day(s), around 2026-09-15",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
563320,通用航空ETF华泰柏瑞,unknown,指数型-股票,162,250,88,2025-09-03,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,88,2026-09-17,False,,False,False,blocked_short_history,"recheck candidate gate after at least 88 new trading day(s), around 2026-09-17",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589020,科创半导体设备ETF鹏华,industry,指数型-股票,161,250,89,2025-09-04,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,89,2026-09-18,False,,False,False,blocked_short_history,"recheck candidate gate after at least 89 new trading day(s), around 2026-09-18",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
563230,卫星ETF富国,unknown,指数型-股票,152,250,98,2025-09-17,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,98,2026-10-09,False,,False,False,blocked_short_history,"recheck candidate gate after at least 98 new trading day(s), around 2026-10-09",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
560570,A500红利ETF国联安,broad_based,指数型-股票,151,250,99,2025-09-18,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,99,2026-10-12,False,,False,False,blocked_short_history,"recheck candidate gate after at least 99 new trading day(s), around 2026-10-12",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159272,机器人ETF富国,theme,指数型-股票,150,250,100,2025-09-19,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,100,2026-10-13,False,,False,False,blocked_short_history,"recheck candidate gate after at least 100 new trading day(s), around 2026-10-13",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589120,科创创新药ETF汇添富,unknown,指数型-股票,150,250,100,2025-09-19,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,100,2026-10-13,False,,False,False,blocked_short_history,"recheck candidate gate after at least 100 new trading day(s), around 2026-10-13",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159107,创业板软件ETF富国,broad_based,指数型-股票,149,250,101,2025-09-22,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,101,2026-10-14,False,,False,False,blocked_short_history,"recheck candidate gate after at least 101 new trading day(s), around 2026-10-14",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589960,科创新能源ETF易方达,industry,指数型-股票,149,250,101,2025-09-22,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,101,2026-10-14,False,,False,False,blocked_short_history,"recheck candidate gate after at least 101 new trading day(s), around 2026-10-14",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159279,创业板人工智能ETF华安,broad_based,指数型-股票,144,250,106,2025-09-29,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,106,2026-10-21,False,,False,False,blocked_short_history,"recheck candidate gate after at least 106 new trading day(s), around 2026-10-21",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
512630,卫星ETF广发,unknown,指数型-股票,133,250,117,2025-10-22,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,117,2026-11-05,False,,False,False,blocked_short_history,"recheck candidate gate after at least 117 new trading day(s), around 2026-11-05",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
563750,中证500ETF汇添富,broad_based,指数型-股票,127,250,123,2025-10-30,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,123,2026-11-13,False,,False,False,blocked_short_history,"recheck candidate gate after at least 123 new trading day(s), around 2026-11-13",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
563380,航空航天ETF华泰柏瑞,unknown,指数型-股票,121,250,129,2025-11-07,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,129,2026-11-23,False,,False,False,blocked_short_history,"recheck candidate gate after at least 129 new trading day(s), around 2026-11-23",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159100,巴西ETF华夏,unknown,指数型-海外股票,117,250,133,2025-11-13,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,133,2026-11-27,False,,False,False,blocked_short_history,"recheck candidate gate after at least 133 new trading day(s), around 2026-11-27",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
520870,巴西ETF易方达,unknown,指数型-海外股票,117,250,133,2025-11-13,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,133,2026-11-27,False,,False,False,blocked_short_history,"recheck candidate gate after at least 133 new trading day(s), around 2026-11-27",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159129,化工ETF嘉实,unknown,指数型-股票,116,250,134,2025-11-14,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,134,2026-11-30,False,,False,False,blocked_short_history,"recheck candidate gate after at least 134 new trading day(s), around 2026-11-30",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
563530,卫星ETF易方达,unknown,指数型-股票,116,250,134,2025-11-14,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,134,2026-11-30,False,,False,False,blocked_short_history,"recheck candidate gate after at least 134 new trading day(s), around 2026-11-30",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
515370,光伏ETF华夏,industry,指数型-股票,114,250,136,2025-11-18,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,136,2026-12-02,False,,False,False,blocked_short_history,"recheck candidate gate after at least 136 new trading day(s), around 2026-12-02",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159133,化工ETF天弘,unknown,指数型-股票,109,250,141,2025-11-25,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,141,2026-12-09,False,,False,False,blocked_short_history,"recheck candidate gate after at least 141 new trading day(s), around 2026-12-09",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159253,银行ETF博时,industry,指数型-股票,100,250,150,2025-12-08,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,150,2026-12-22,False,,False,False,blocked_short_history,"recheck candidate gate after at least 150 new trading day(s), around 2026-12-22",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159141,科创创业人工智能ETF永赢,theme,指数型-股票,97,250,153,2025-12-11,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,153,2026-12-25,False,,False,False,blocked_short_history,"recheck candidate gate after at least 153 new trading day(s), around 2026-12-25",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159142,科创创业人工智能ETF景顺,theme,指数型-股票,96,250,154,2025-12-12,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,154,2026-12-28,False,,False,False,blocked_short_history,"recheck candidate gate after at least 154 new trading day(s), around 2026-12-28",observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159140,科创创业人工智能ETF易方达,theme,指数型-股票,92,250,158,2025-12-18,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,158,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159139,科创创业人工智能ETF华泰柏瑞,theme,指数型-股票,91,250,159,2025-12-19,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,159,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
588430,科创创业人工智能ETF工银,theme,指数型-股票,85,250,165,2025-12-29,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,165,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159243,创业板人工智能ETF招商,broad_based,指数型-股票,82,250,168,2026-01-05,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,168,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
563790,卫星ETF鹏华,unknown,指数型-股票,82,250,168,2026-01-05,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,168,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
588420,科创创业人工智能ETF摩根,theme,指数型-股票,82,250,168,2026-01-05,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,168,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589130,科创芯片ETF易方达,industry,指数型-股票,79,250,171,2026-01-08,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,171,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589030,科创芯片设计ETF易方达,industry,指数型-股票,72,250,178,2026-01-19,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,178,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159146,电力ETF华宝,unknown,指数型-股票,71,250,179,2026-01-20,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,179,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159155,电池ETF大成,unknown,指数型-股票,70,250,180,2026-01-21,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,180,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159147,电池ETF南方,unknown,指数型-股票,68,250,182,2026-01-23,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,182,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589070,科创芯片设计ETF天弘,industry,指数型-股票,68,250,182,2026-01-23,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,182,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589220,科创200ETF国泰,unknown,指数型-股票,67,250,183,2026-01-26,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,183,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159158,电力ETF景顺,unknown,指数型-股票,66,250,184,2026-01-27,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,184,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589190,科创芯片ETF华宝,industry,指数型-股票,66,250,184,2026-01-27,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,184,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589160,科创芯片ETF广发,industry,指数型-股票,63,250,187,2026-01-30,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,187,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
159247,创业板ETF汇添富,broad_based,指数型-股票,62,250,188,2026-02-02,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,188,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589230,科创人工智能ETF南方,theme,指数型-股票,62,250,188,2026-02-02,2026-05-12,2026-05-15,3,short_history,ok,waiting_for_history,P1_wait_for_history,188,unknown,False,,False,False,blocked_short_history,watch row count; calendar has no reliable eligible-date estimate,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
589980,科创100ETF汇添富,unknown,指数型-股票,243,250,7,2025-05-12,2026-05-12,2026-05-15,3,short_history,low_liquidity,waiting_but_low_liquidity,P2_low_liquidity_watch,7,2026-05-26,False,,True,False,blocked_short_history,watch history accumulation and liquidity; do not use as a low score,observation only; never enter candidate strategy until candidate gate is rerun cleanly; short history is not a low score; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
